model_key,accuracy,f1_macro,top2_accuracy,season
logistic_regression,0.6551724137931034,0.3539107950872657,0.9310344827586207,2003-04
logistic_regression,0.7,0.5818518518518518,0.8666666666666667,2004-05
logistic_regression,0.6333333333333333,0.35312899106002554,0.7333333333333333,2005-06
logistic_regression,0.6,0.3314814814814815,0.7333333333333333,2006-07
logistic_regression,0.6333333333333333,0.3679012345679012,0.9333333333333333,2007-08
logistic_regression,0.5666666666666667,0.3554029304029304,0.7,2008-09
logistic_regression,0.7,0.41128747795414466,0.9333333333333333,2009-10
logistic_regression,0.5666666666666667,0.33247863247863246,0.8,2010-11
logistic_regression,0.5666666666666667,0.28092592592592597,0.7333333333333333,2011-12
logistic_regression,0.5666666666666667,0.3326367119470568,0.8666666666666667,2012-13
logistic_regression,0.6333333333333333,0.364957264957265,0.8333333333333334,2013-14
logistic_regression,0.5,0.22444222444222442,0.7333333333333333,2014-15
logistic_regression,0.5666666666666667,0.23544973544973544,0.7666666666666667,2015-16
logistic_regression,0.7,0.5501867413632119,0.9333333333333333,2016-17
logistic_regression,0.7666666666666667,0.5040979354704845,0.8333333333333334,2017-18
logistic_regression,0.7333333333333333,0.4336219336219336,0.9666666666666667,2018-19
logistic_regression,0.5333333333333333,0.24639498432601883,0.7666666666666667,2019-20
logistic_regression,0.5666666666666667,0.3285714285714285,0.8,2020-21
logistic_regression,0.5,0.2291005291005291,0.7333333333333333,2021-22
logistic_regression,0.5,0.3614163614163614,0.6666666666666666,2022-23
logistic_regression,0.6,0.318552036199095,0.8333333333333334,2023-24
random_forest,0.6551724137931034,0.4430306535569693,0.896551724137931,2003-04
random_forest,0.6666666666666666,0.27505827505827507,0.8666666666666667,2004-05
random_forest,0.7666666666666667,0.43372655777374475,0.9,2005-06
random_forest,0.7,0.3085385878489327,0.8,2006-07
random_forest,0.6666666666666666,0.4179045355515944,0.8666666666666667,2007-08
random_forest,0.6666666666666666,0.3255952380952381,0.8666666666666667,2008-09
random_forest,0.7333333333333333,0.36419753086419754,0.8666666666666667,2009-10
random_forest,0.6333333333333333,0.2898381574852163,0.7666666666666667,2010-11
random_forest,0.6,0.2364102564102564,0.8,2011-12
random_forest,0.5666666666666667,0.23148148148148148,0.7666666666666667,2012-13
random_forest,0.7333333333333333,0.42981637099284153,0.8333333333333334,2013-14
random_forest,0.6666666666666666,0.3739623243933589,0.8333333333333334,2014-15
random_forest,0.7,0.38868003341687546,0.8666666666666667,2015-16
random_forest,0.8,0.6208112874779541,0.9333333333333333,2016-17
random_forest,0.7,0.3226773226773227,0.8333333333333334,2017-18
random_forest,0.7666666666666667,0.34405458089668617,0.9,2018-19
random_forest,0.6666666666666666,0.312442396313364,0.8666666666666667,2019-20
random_forest,0.7333333333333333,0.36111111111111116,0.8333333333333334,2020-21
random_forest,0.6333333333333333,0.29470529470529466,0.8,2021-22
random_forest,0.5666666666666667,0.25936507936507935,0.8,2022-23
random_forest,0.6666666666666666,0.3102277432712215,0.8,2023-24
mlp_baseline,0.5172413793103449,0.27678571428571425,0.8620689655172413,2003-04
mlp_baseline,0.7,0.3372592319960741,0.8666666666666667,2004-05
mlp_baseline,0.7,0.39942528735632177,0.8333333333333334,2005-06
mlp_baseline,0.6666666666666666,0.4037037037037037,0.7333333333333333,2006-07
mlp_baseline,0.7333333333333333,0.6322751322751322,0.9,2007-08
mlp_baseline,0.6666666666666666,0.49470899470899465,0.7333333333333333,2008-09
mlp_baseline,0.6333333333333333,0.2984126984126984,0.7666666666666667,2009-10
mlp_baseline,0.5666666666666667,0.4074074074074074,0.7666666666666667,2010-11
mlp_baseline,0.5666666666666667,0.2596241561758803,0.8,2011-12
mlp_baseline,0.5666666666666667,0.2380952380952381,0.8333333333333334,2012-13
mlp_baseline,0.6333333333333333,0.37980559745265624,0.8333333333333334,2013-14
mlp_baseline,0.6333333333333333,0.3470443349753694,0.7333333333333333,2014-15
mlp_baseline,0.5333333333333333,0.21636240703177823,0.7666666666666667,2015-16
mlp_baseline,0.7666666666666667,0.6820662768031189,0.9333333333333333,2016-17
mlp_baseline,0.6333333333333333,0.4553113553113553,0.8666666666666667,2017-18
mlp_baseline,0.6333333333333333,0.3675016739532868,0.9,2018-19
mlp_baseline,0.7,0.49914529914529915,0.8666666666666667,2019-20
mlp_baseline,0.6,0.38580246913580246,0.8,2020-21
mlp_baseline,0.6,0.2814599193909539,0.8333333333333334,2021-22
mlp_baseline,0.6,0.29033816425120773,0.8,2022-23
