,precision,recall,f1-score,support
Missed Playoffs,0.9075342465753424,0.9044368600682594,0.905982905982906,293.0
First Round Exit,0.63125,0.6011904761904762,0.6158536585365854,168.0
Second Round Exit,0.3717948717948718,0.34523809523809523,0.35802469135802467,84.0
Conference Finals,0.20408163265306123,0.23809523809523808,0.21978021978021978,42.0
Finals Loss,0.0,0.0,0.0,21.0
Champion,0.24,0.2857142857142857,0.2608695652173913,21.0
accuracy,0.6534181240063593,0.6534181240063593,0.6534181240063593,0.6534181240063593
macro avg,0.39244345850387924,0.3957791592177258,0.39341850681252116,629.0
weighted avg,0.662638683702342,0.6534181240063593,0.6577098732298033,629.0
