,precision,recall,f1-score,support
Missed Playoffs,0.8737201365187713,0.8737201365187713,0.8737201365187713,293.0
First Round Exit,0.5325443786982249,0.5357142857142857,0.5341246290801187,168.0
Second Round Exit,0.31521739130434784,0.34523809523809523,0.32954545454545453,84.0
Conference Finals,0.2926829268292683,0.2857142857142857,0.2891566265060241,42.0
Finals Loss,0.11764705882352941,0.09523809523809523,0.10526315789473684,21.0
Champion,0.35294117647058826,0.2857142857142857,0.3157894736842105,21.0
accuracy,0.6279809220985691,0.6279809220985691,0.6279809220985691,0.6279809220985691
macro avg,0.4141255114407884,0.4035565306896365,0.40793324637155265,629.0
weighted avg,0.6265830721126753,0.6279809220985691,0.6270293154907617,629.0
