model_key,model_name,accuracy,f1_macro,top2_accuracy,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,top2_accuracy_mean,top2_accuracy_std
logistic_regression,Logistic Regression,0.6089030206677265,0.38010055117654695,0.8139904610492846,0.608976464148878,0.0760175043008797,0.357037962270262,0.09497407280952701,0.814176245210728,0.08687848841467809
random_forest,Random Forest,0.6804451510333863,0.36234221184457366,0.8426073131955485,0.6804050355774492,0.06066285855656443,0.34969689613081034,0.08616838508678759,0.8426929392446635,0.044804824494052264
mlp_baseline,MLP Baseline,0.6279809220985691,0.40793324637155265,0.8171701112877583,0.6278051450465243,0.06648865410137318,0.3841714284253775,0.1175206647373807,0.8172413793103449,0.05947254459634945
attention_model,Attention Model,0.6534181240063593,0.39341850681252116,0.8251192368839427,0.6535851122058018,0.07607281618262776,0.3802432216459675,0.1140324370483379,0.8251778872468529,0.05515063513997431
