,precision,recall,f1-score,support
Missed Playoffs,0.8685121107266436,0.856655290102389,0.8625429553264605,293.0
First Round Exit,0.5182926829268293,0.5059523809523809,0.5120481927710844,168.0
Second Round Exit,0.3170731707317073,0.30952380952380953,0.3132530120481928,84.0
Conference Finals,0.2857142857142857,0.2857142857142857,0.2857142857142857,42.0
Finals Loss,0.04,0.047619047619047616,0.043478260869565216,21.0
Champion,0.18518518518518517,0.23809523809523808,0.20833333333333334,21.0
accuracy,0.604133545310016,0.604133545310016,0.604133545310016,0.604133545310016
macro avg,0.3691295725474419,0.37392667533452517,0.3708950066771537,629.0
weighted avg,0.6119399911048746,0.604133545310016,0.6078703955270336,629.0
