model_key,model_name,accuracy,f1_macro,top2_accuracy,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,top2_accuracy_mean,top2_accuracy_std
logistic_regression,Logistic Regression,0.548489666136725,0.3235554100731955,0.7408585055643879,0.5484400656814449,0.07695247737779458,0.31830709972140125,0.10827786527077665,0.7408866995073892,0.0768070478792537
random_forest,Random Forest,0.604133545310016,0.2857789411500317,0.8187599364069952,0.6041598248494799,0.04245022441501384,0.2758474572303161,0.0391922746576479,0.8187192118226599,0.03808933952031319
mlp_baseline,MLP Baseline,0.5786963434022258,0.32627082858364664,0.7758346581875993,0.5786535303776683,0.08148272339613988,0.31239872748020164,0.11205283757472811,0.7758620689655172,0.06978080404039148
attention_model,Attention Model,0.604133545310016,0.3708950066771537,0.8012718600953895,0.6042692939244663,0.09396885589320628,0.3569624987675364,0.1472825485775398,0.8013136288998358,0.0669250092429887
