,precision,recall,f1-score,support
Missed Playoffs,0.8408304498269896,0.8293515358361775,0.8350515463917526,293.0
First Round Exit,0.45930232558139533,0.47023809523809523,0.4647058823529412,168.0
Second Round Exit,0.3333333333333333,0.40476190476190477,0.3655913978494624,84.0
Conference Finals,0.14285714285714285,0.11904761904761904,0.12987012987012986,42.0
Finals Loss,0.07142857142857142,0.047619047619047616,0.05714285714285714,21.0
Champion,0.11764705882352941,0.09523809523809523,0.10526315789473684,21.0
accuracy,0.5786963434022258,0.5786963434022258,0.5786963434022258,0.5786963434022258
macro avg,0.3275664803084936,0.3277093829568232,0.32627082858364664,629.0
weighted avg,0.5747165353454317,0.5786963434022258,0.5760181884225236,629.0
