model_key,accuracy,f1_macro,top2_accuracy,season
logistic_regression,0.5172413793103449,0.2641194554238033,0.7586206896551724,2003-04
logistic_regression,0.4666666666666667,0.2972222222222222,0.7666666666666667,2004-05
logistic_regression,0.6333333333333333,0.3784495279593319,0.8333333333333334,2005-06
logistic_regression,0.4666666666666667,0.19047619047619047,0.6666666666666666,2006-07
logistic_regression,0.5333333333333333,0.27012987012987016,0.7,2007-08
logistic_regression,0.5333333333333333,0.23168498168498167,0.6666666666666666,2008-09
logistic_regression,0.6,0.3650274924784729,0.7666666666666667,2009-10
logistic_regression,0.5666666666666667,0.23275862068965517,0.7,2010-11
logistic_regression,0.5333333333333333,0.2576923076923077,0.7333333333333333,2011-12
logistic_regression,0.6666666666666666,0.376984126984127,0.7666666666666667,2012-13
logistic_regression,0.5333333333333333,0.30531813865147195,0.8333333333333334,2013-14
logistic_regression,0.5333333333333333,0.4490740740740741,0.7666666666666667,2014-15
logistic_regression,0.5,0.3000478927203065,0.7333333333333333,2015-16
logistic_regression,0.7666666666666667,0.7188375350140056,0.9333333333333333,2016-17
logistic_regression,0.5333333333333333,0.2697893972403776,0.7333333333333333,2017-18
logistic_regression,0.6,0.31660561660561665,0.8,2018-19
logistic_regression,0.6,0.36905615292712063,0.7,2019-20
logistic_regression,0.5333333333333333,0.3206349206349206,0.7,2020-21
logistic_regression,0.4666666666666667,0.22008547008547008,0.7,2021-22
logistic_regression,0.4,0.2823232323232323,0.5333333333333333,2022-23
logistic_regression,0.5333333333333333,0.2681318681318681,0.7666666666666667,2023-24
random_forest,0.6206896551724138,0.2830687830687831,0.7931034482758621,2003-04
random_forest,0.5,0.1984126984126984,0.7333333333333333,2004-05
random_forest,0.6,0.34761904761904755,0.8666666666666667,2005-06
random_forest,0.6,0.2738095238095238,0.7666666666666667,2006-07
random_forest,0.6333333333333333,0.3086691086691087,0.8333333333333334,2007-08
random_forest,0.6,0.23376623376623376,0.9,2008-09
random_forest,0.6333333333333333,0.31509971509971507,0.8333333333333334,2009-10
random_forest,0.6,0.24814814814814815,0.8,2010-11
random_forest,0.6,0.23824786324786326,0.8,2011-12
random_forest,0.6666666666666666,0.2716049382716049,0.8,2012-13
random_forest,0.6333333333333333,0.2873015873015873,0.8,2013-14
random_forest,0.5333333333333333,0.23544973544973544,0.8333333333333334,2014-15
random_forest,0.6333333333333333,0.353968253968254,0.8,2015-16
random_forest,0.6333333333333333,0.27678571428571425,0.8666666666666667,2016-17
random_forest,0.6,0.2424749163879599,0.8,2017-18
random_forest,0.6333333333333333,0.2825722664432342,0.8333333333333334,2018-19
random_forest,0.6333333333333333,0.29604027991124765,0.8333333333333334,2019-20
random_forest,0.5666666666666667,0.28095238095238095,0.8666666666666667,2020-21
random_forest,0.5333333333333333,0.23052362707535123,0.8333333333333334,2021-22
random_forest,0.5666666666666667,0.2603615520282187,0.7666666666666667,2022-23
random_forest,0.6666666666666666,0.3279202279202279,0.8333333333333334,2023-24
mlp_baseline,0.5517241379310345,0.3611111111111111,0.7931034482758621,2003-04
mlp_baseline,0.43333333333333335,0.2108262108262108,0.6333333333333333,2004-05
mlp_baseline,0.7,0.42518674136321194,0.8,2005-06
mlp_baseline,0.5666666666666667,0.26033834586466165,0.8,2006-07
